                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.93733,                0.86169,                 1.0843,                0.85472,                0.78054,                0.86103,                0.68337,                 0.8374,                0.63863,                0.98024,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     33,                0.95936,                0.86921,                 1.1079,                0.86116,                0.77823,                0.86172,                0.68243,                0.83639,                0.63373,                0.97981,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     34,                0.94063,                0.80875,                 1.0834,                0.88374,                 0.7753,                0.86103,                0.68694,                0.82985,                0.63235,                0.97634,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.95305,                0.84556,                  1.073,                0.88108,                0.77548,                0.85901,                 0.6905,                 0.8263,                0.63053,                0.97503,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                0.91434,                0.80034,                 1.0422,                0.88221,                0.77299,                0.86233,                0.69085,                0.82568,                0.62551,                0.97453,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                0.90311,                0.81786,                 1.0792,                 0.8861,                0.77032,                0.86295,                0.69327,                0.82323,                0.62046,                0.97253,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                0.94571,                0.81133,                 1.1049,                0.86493,                0.78521,                0.86369,                 0.6913,                 0.8206,                0.61403,                0.97085,              7.541e-05,              7.541e-05,              7.541e-05
                     39,                0.92139,                0.79796,                 1.0795,                 0.8748,                0.78299,                0.86606,                0.69722,                0.81507,                0.60943,                 0.9683,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     40,                0.90297,                0.79212,                  1.064,                0.86725,                0.78718,                0.86736,                0.70193,                0.80839,                0.60203,                0.96527,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     41,                0.95209,                0.80185,                 1.0743,                 0.8455,                0.81166,                0.87035,                0.70457,                0.80231,                0.59651,                0.96228,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     42,                0.92862,                0.81242,                 1.0826,                0.84497,                0.80859,                0.86753,                0.70759,                0.79824,                0.59599,                0.95875,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     43,                0.89629,                0.76842,                  1.064,                0.84285,                0.80672,                0.86387,                0.71124,                0.79237,                0.59659,                 0.9565,              6.952e-05,              6.952e-05,              6.952e-05
                     44,                0.86846,                0.80403,                 1.0606,                0.86429,                0.80789,                0.86702,                0.71613,                0.78738,                0.59388,                0.95406,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     45,                0.89301,                0.76832,                 1.0598,                0.86771,                0.81129,                0.87027,                0.71338,                0.78274,                0.59061,                0.95251,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     46,                0.88056,                0.76548,                 1.0577,                0.86201,                0.80498,                0.87048,                0.71169,                0.77956,                0.58578,                  0.951,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     47,                0.85753,                0.75399,                 1.0537,                0.88569,                0.79284,                 0.8724,                0.71278,                0.77909,                0.58007,                0.95088,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     48,                0.92387,                0.79138,                 1.0687,                0.85956,                0.81295,                0.87293,                0.71443,                0.77722,                0.57718,                0.94887,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     49,                0.84401,                0.75809,                 1.0298,                0.85288,                0.82642,                0.88119,                0.71479,                0.77741,                0.57598,                0.94718,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     50,                0.90774,                0.78338,                 1.0494,                0.87201,                 0.8183,                0.88096,                0.71526,                0.77471,                0.57403,                0.94532,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     51,                0.85952,                0.71711,                 1.0352,                 0.8863,                0.80708,                0.88048,                0.71754,                   0.77,                 0.5751,                0.94329,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                0.88611,                0.75226,                 1.0396,                0.89067,                0.80533,                0.87916,                0.71878,                0.76522,                0.57259,                0.94089,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     53,                 0.8929,                0.76182,                 1.0374,                0.89764,                0.79902,                0.87813,                0.71623,                0.76327,                0.56956,                0.93945,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                0.85757,                0.74513,                 1.0398,                0.90159,                 0.7978,                0.87818,                  0.717,                0.75965,                0.56485,                0.93846,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                 0.8929,                0.75574,                 1.0511,                0.90555,                0.79786,                0.88032,                0.72157,                 0.7557,                0.56034,                0.93774,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                   0.86,                 0.7611,                 1.0451,                0.89364,                0.80534,                0.88094,                0.72292,                0.75295,                0.55632,                0.93664,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     57,                0.86827,                0.73246,                 1.0434,                0.89643,                0.80383,                0.88114,                0.72537,                0.75071,                0.55365,                0.93573,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     58,                0.85493,                0.72244,                 1.0375,                0.90811,                0.79939,                0.88274,                0.72493,                0.74863,                0.55099,                0.93541,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     59,                0.86703,                0.74238,                 1.0466,                0.89547,                0.80801,                0.88497,                0.72477,                0.74688,                0.54968,                0.93509,              5.067e-05,              5.067e-05,              5.067e-05
                     60,                0.86232,                  0.738,                 1.0671,                  0.906,                0.80457,                 0.8864,                0.72569,                0.74253,                0.54695,                 0.9343,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     61,                0.85887,                0.73092,                 1.0398,                0.89425,                0.81376,                0.88586,                0.72399,                 0.7394,                0.54503,                0.93338,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     62,                0.89441,                0.74049,                 1.0472,                0.89393,                0.81345,                0.88568,                0.72751,                0.73868,                 0.5448,                0.93291,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     63,                0.84273,                0.71674,                 1.0336,                0.88738,                0.82886,                0.88699,                0.72961,                0.73849,                 0.5452,                0.93288,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     64,                0.84988,                0.72858,                 1.0428,                0.88626,                0.82817,                 0.8859,                0.73012,                0.73826,                0.54474,                0.93267,              4.478e-05,              4.478e-05,              4.478e-05
                     65,                0.82586,                0.69706,                 1.0236,                0.89596,                0.82302,                0.88565,                0.72852,                0.73601,                0.54243,                0.93168,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     66,                0.83326,                0.70555,                  1.021,                0.89818,                0.82054,                0.88534,                0.72958,                0.73581,                0.53986,                 0.9315,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     67,                0.81619,                0.68503,                 1.0309,                0.91033,                0.80864,                 0.8854,                0.72755,                0.73523,                0.53932,                0.93168,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     68,                0.81675,                0.69512,                 1.0353,                0.91501,                0.80938,                0.88646,                0.72813,                0.73452,                0.53692,                 0.9312,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                0.80755,                0.68122,                 1.0299,                0.90261,                0.81635,                0.88667,                0.73097,                0.73242,                0.53421,                0.93003,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     70,                0.81365,                0.67764,                 1.0218,                0.89977,                 0.8211,                0.88767,                0.73188,                0.72942,                0.53189,                0.92842,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     71,                0.82408,                0.69984,                  1.027,                0.90467,                0.81654,                0.88807,                0.73571,                 0.7283,                 0.5326,                0.92712,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     72,                0.82068,                0.70331,                 1.0517,                0.90746,                0.81886,                0.88832,                0.73573,                0.72832,                0.53369,                0.92623,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     73,                0.82376,                0.67315,                 1.0247,                0.89821,                0.82148,                0.88756,                0.73443,                0.72719,                0.53186,                0.92532,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     74,                0.84833,                0.71255,                 1.0392,                0.90067,                0.82013,                0.88665,                0.73492,                0.72562,                0.52981,                0.92503,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     75,                0.81961,                0.72279,                 1.0636,                0.91658,                0.81279,                0.88793,                 0.7368,                0.72194,                0.52917,                 0.9243,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     76,                0.83448,                0.70362,                 1.0352,                0.91615,                0.81383,                0.88835,                0.73918,                0.72007,                0.52951,                0.92328,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     77,                0.80594,                 0.6811,                 1.0172,                0.92464,                0.81019,                0.88833,                0.73713,                0.71804,                0.52887,                 0.9221,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     78,                0.83176,                0.70185,                  1.029,                0.92627,                0.80817,                 0.8883,                0.73837,                0.71692,                0.52784,                0.92156,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     79,                0.80454,                0.64987,                   1.01,                0.92837,                0.80948,                0.89002,                0.74019,                0.71691,                0.52724,                0.92133,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     80,                0.84065,                0.70288,                 1.0473,                0.92744,                0.80995,                0.89013,                0.74213,                0.71568,                0.52578,                0.92128,              2.593e-05,              2.593e-05,              2.593e-05
                     81,                0.82225,                 0.6825,                 1.0168,                0.92529,                0.81187,                0.88956,                0.74213,                0.71419,                 0.5238,                0.92117,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     82,                0.83632,                0.70449,                 1.0176,                0.92305,                0.81501,                0.89118,                0.74299,                0.71207,                 0.5211,                 0.9205,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     83,                0.84093,                0.70717,                 1.0479,                0.92304,                0.81426,                0.89028,                0.74383,                0.71163,                0.51989,                0.92011,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     84,                0.85398,                0.71692,                 1.0385,                0.91765,                0.81732,                0.89076,                0.74327,                0.71087,                0.51789,                0.91974,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     85,                0.84927,                0.70165,                 1.0214,                0.91675,                 0.8162,                 0.8913,                0.74316,                0.71131,                0.51802,                0.91946,              2.004e-05,              2.004e-05,              2.004e-05
                     86,                0.86073,                0.71352,                 1.0457,                0.91561,                0.81578,                 0.8909,                0.74315,                0.71125,                 0.5169,                0.91901,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     87,                0.78498,                 0.6762,                 1.0102,                0.91018,                0.82208,                 0.8916,                0.74371,                0.70947,                0.51651,                0.91842,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     88,                0.81986,                0.67189,                 1.0171,                0.91016,                0.82119,                 0.8917,                0.74233,                0.70806,                0.51585,                0.91792,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     89,                0.81827,                0.68071,                  1.034,                0.91197,                0.82017,                0.89277,                 0.7449,                0.70719,                0.51589,                0.91745,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     90,                0.85087,                0.71093,                 1.0505,                0.91034,                0.81963,                0.89254,                0.74572,                 0.7052,                0.51446,                  0.917,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     91,                0.81415,                 0.6713,                 1.0271,                0.91629,                0.81827,                0.89231,                0.74449,                  0.704,                0.51412,                0.91676,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     92,                0.82792,                0.69679,                 1.0395,                0.91894,                0.81475,                0.89198,                0.74671,                0.70333,                0.51321,                0.91665,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     93,                0.84078,                0.68027,                 1.0325,                0.91801,                0.81576,                0.89246,                0.74658,                0.70272,                0.51291,                 0.9161,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     94,                0.84434,                0.71144,                 1.0295,                0.91917,                0.81626,                0.89252,                0.74755,                0.70246,                0.51282,                0.91624,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     95,                0.80607,                 0.6856,                 1.0289,                0.92002,                0.81439,                0.89264,                0.74685,                  0.702,                0.51168,                0.91624,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     96,                0.82967,                0.65623,                 1.0072,                0.92057,                0.81504,                0.89281,                0.74795,                0.70115,                0.51185,                0.91607,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     97,                0.83099,                0.69263,                 1.0388,                0.91947,                0.81695,                0.89124,                0.74831,                 0.7001,                0.51086,                0.91639,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     98,                0.82734,                0.66191,                 1.0202,                0.92225,                0.81647,                0.89233,                 0.7478,                0.69931,                 0.5102,                0.91622,             4.7243e-06,             4.7243e-06,             4.7243e-06
                     99,                0.85317,                0.67938,                 1.0239,                0.92186,                 0.8176,                0.89308,                0.74904,                0.69938,                0.51032,                0.91624,             3.5462e-06,             3.5462e-06,             3.5462e-06
