                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0956,                 1.3647,                 1.2022,                0.65828,                0.53205,                0.61516,                0.45672,                 1.0813,                 1.1282,                 1.1243,               8.33e-06,               8.33e-06,               8.33e-06
                      1,                 1.2148,                 1.4379,                 1.2672,                0.68869,                0.53841,                0.63215,                0.46754,                 1.0753,                 1.0877,                 1.1208,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      2,                 1.1855,                 1.3194,                 1.2365,                0.68865,                0.55416,                0.64287,                0.47683,                 1.0681,                 1.0634,                 1.1178,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      3,                 1.1419,                 1.2954,                 1.2363,                0.70029,                0.58302,                0.66376,                0.49115,                 1.0552,                 1.0382,                 1.1086,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      4,                 1.2145,                 1.3291,                 1.2289,                 0.6877,                0.60816,                0.68493,                0.50633,                 1.0395,                 1.0126,                 1.0948,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      5,                 1.1218,                 1.1597,                 1.1959,                0.68027,                0.63634,                0.69975,                0.52359,                 1.0273,                0.99487,                 1.0854,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      6,                  1.121,                 1.1753,                 1.1982,                0.72156,                 0.6439,                0.71497,                0.53573,                 1.0197,                0.97691,                 1.0813,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      7,                 1.0801,                 1.1253,                 1.1629,                0.73211,                0.66544,                0.72606,                0.54481,                 1.0128,                0.94832,                 1.0766,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      8,                  1.079,                 1.0918,                 1.1604,                 0.7527,                0.66766,                0.73765,                0.55035,                 1.0081,                0.92093,                 1.0726,             7.7798e-05,             7.7798e-05,             7.7798e-05
                      9,                 1.0762,                 1.1201,                 1.1764,                0.71865,                0.69414,                0.74199,                0.55357,                 1.0026,                0.90006,                 1.0685,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     10,                 1.1104,                 1.0972,                  1.167,                0.71999,                0.70516,                0.75001,                0.56614,                0.99123,                0.87075,                 1.0605,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     11,                  1.019,                 1.0337,                  1.138,                0.75751,                0.68152,                0.75835,                0.57165,                0.97636,                 0.8468,                 1.0522,             0.00010074,             0.00010074,             0.00010074
                     12,                 1.0797,                 1.0345,                 1.1806,                0.79105,                0.67613,                 0.7659,                0.58351,                0.96349,                 0.8333,                 1.0465,             0.00010486,             0.00010486,             0.00010486
                     13,                 1.0812,                 1.0686,                  1.152,                0.80186,                0.67963,                0.77269,                0.59285,                  0.961,                0.82124,                 1.0432,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0883,                 1.0493,                 1.1504,                0.80929,                 0.6908,                0.78232,                0.60212,                 0.9654,                0.81246,                  1.044,             0.00010368,             0.00010368,             0.00010368
                     15,                 1.0503,                 1.0142,                 1.1434,                0.80747,                0.70383,                0.79148,                0.60917,                0.95517,                0.79263,                 1.0381,             0.00010251,             0.00010251,             0.00010251
                     16,                  1.026,                 1.0379,                 1.1368,                0.81106,                0.71973,                 0.7973,                0.61747,                0.93938,                0.77574,                 1.0333,             0.00010133,             0.00010133,             0.00010133
                     17,                 1.0503,                0.98125,                 1.1389,                 0.8234,                0.72607,                0.81765,                0.62912,                0.92699,                0.75774,                  1.028,             0.00010015,             0.00010015,             0.00010015
                     18,                 0.9871,                0.96123,                 1.1356,                0.83791,                0.71912,                0.82109,                0.63583,                0.91847,                0.74532,                 1.0222,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     19,                 0.9745,                0.91947,                 1.1097,                 0.8009,                0.75226,                0.82468,                0.64096,                0.90841,                0.73452,                 1.0155,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     20,                 1.0113,                0.93651,                 1.1251,                0.81678,                0.76164,                0.83341,                0.64406,                0.90877,                0.72268,                 1.0139,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     21,                 1.0197,                0.92194,                 1.1312,                0.85855,                0.73717,                0.83139,                0.64791,                0.90814,                0.71423,                 1.0113,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     22,                 0.9968,                0.91866,                 1.0969,                 0.8561,                0.74568,                0.83153,                0.65045,                0.90513,                0.70868,                 1.0092,              9.426e-05,              9.426e-05,              9.426e-05
                     23,                0.95384,                 0.9101,                 1.0992,                0.80533,                0.78067,                0.83376,                0.64932,                0.89853,                0.70486,                 1.0078,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     24,                0.96906,                0.89278,                 1.1011,                0.81784,                0.77408,                0.83609,                 0.6534,                 0.8926,                0.69847,                 1.0061,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     25,                0.97534,                0.93885,                 1.1143,                0.83079,                0.77055,                0.84047,                0.65801,                0.88819,                 0.6898,                 1.0047,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     26,                0.98181,                0.90245,                  1.118,                0.81212,                0.78397,                0.84388,                0.66282,                0.87916,                 0.6813,                 1.0021,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     27,                0.97889,                 0.8631,                  1.108,                0.86518,                0.75478,                0.85027,                0.66913,                0.86811,                0.67095,                 0.9965,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     28,                0.96951,                0.85894,                 1.0996,                0.85482,                0.75884,                0.85029,                0.67283,                0.85895,                0.66371,                0.99196,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     29,                 0.9406,                0.80531,                 1.0586,                0.83552,                0.77846,                0.85382,                0.67499,                0.85319,                0.66083,                0.98838,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     30,                0.98217,                0.86935,                 1.0961,                0.80911,                0.79894,                0.85473,                0.67553,                0.84805,                0.65323,                0.98582,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     31,                0.89259,                0.80814,                 1.0807,                0.86822,                0.76491,                0.85694,                0.68058,                0.84233,                0.64494,                0.98254,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     32,                0.93714,                0.86203,                 1.0841,                0.85442,                0.78115,                0.86172,                 0.6836,                0.83698,                0.63818,                0.98001,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     33,                0.95989,                0.86976,                 1.1081,                0.86639,                0.77728,                0.86166,                0.68238,                0.83617,                0.63405,                0.97963,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     34,                0.94118,                0.80998,                 1.0841,                0.87825,                0.77628,                  0.861,                0.68649,                0.83054,                0.63144,                0.97669,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.95395,                0.84626,                 1.0724,                 0.8832,                0.77634,                0.86064,                0.69275,                0.82632,                0.63112,                0.97457,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                0.91311,                0.80013,                 1.0413,                0.87553,                0.77311,                0.86163,                0.69465,                0.82547,                0.62666,                0.97386,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                0.90696,                0.82279,                 1.0819,                0.85348,                0.79467,                0.86407,                0.69181,                0.82231,                0.61919,                0.97185,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                0.94678,                0.81414,                  1.104,                0.84543,                 0.7999,                0.86518,                0.69443,                0.81972,                0.61175,                0.97029,              7.541e-05,              7.541e-05,              7.541e-05
                     39,                0.92108,                0.79654,                  1.079,                0.85833,                0.79676,                0.86478,                0.69332,                0.81416,                0.60766,                0.96707,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     40,                 0.9066,                0.79255,                 1.0662,                0.85466,                0.79445,                0.86721,                0.69788,                0.80785,                0.60023,                0.96415,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     41,                0.95427,                0.80237,                 1.0758,                0.88799,                0.77358,                0.86799,                0.70307,                0.80011,                0.59537,                0.96084,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     42,                0.92895,                 0.8109,                 1.0823,                0.84462,                0.80903,                0.86901,                0.70802,                0.79656,                0.59376,                0.95774,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     43,                0.89743,                0.76823,                 1.0637,                0.83691,                0.81137,                0.86335,                0.70839,                0.79188,                0.59349,                0.95553,              6.952e-05,              6.952e-05,              6.952e-05
                     44,                 0.8709,                0.80227,                 1.0607,                 0.8683,                 0.8062,                0.86736,                0.71026,                0.78715,                 0.5919,                0.95432,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     45,                0.89667,                0.77012,                 1.0614,                0.86848,                0.80819,                0.86892,                0.71308,                0.78196,                0.58842,                0.95316,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     46,                0.88463,                0.76747,                 1.0618,                0.83386,                0.82034,                0.87116,                0.71414,                 0.7811,                 0.5828,                0.95324,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     47,                0.85775,                0.75545,                 1.0533,                0.81137,                0.83489,                0.87211,                0.71589,                0.77884,                0.57893,                0.95152,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     48,                0.92395,                0.79308,                 1.0694,                0.82887,                0.82431,                0.87094,                0.71502,                 0.7748,                0.57581,                0.94833,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     49,                 0.8422,                0.75382,                 1.0298,                0.85632,                0.81436,                0.87947,                0.71589,                0.77386,                0.57663,                0.94704,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     50,                0.90279,                0.78123,                 1.0486,                0.85373,                0.81807,                0.87879,                0.71547,                0.77379,                0.57423,                0.94611,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     51,                0.85483,                0.71408,                 1.0347,                0.85276,                0.82548,                0.87926,                 0.7174,                0.77096,                0.57331,                0.94472,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                0.88402,                0.75561,                 1.0411,                0.89326,                0.78457,                0.87296,                0.71911,                0.76506,                0.57234,                0.94269,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     53,                0.89192,                0.76277,                 1.0383,                0.89497,                0.79171,                0.87361,                0.71804,                0.76385,                0.57005,                 0.9425,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                 0.8578,                0.74447,                 1.0413,                0.91536,                0.78661,                0.87998,                0.72036,                0.75941,                 0.5652,                0.94092,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                0.89006,                0.75412,                 1.0517,                0.91686,                0.78583,                0.87882,                0.71929,                0.75672,                0.56091,                0.94017,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                0.85659,                0.75878,                 1.0423,                0.89649,                0.80394,                0.88292,                0.71651,                0.75423,                0.55814,                0.93998,             5.4204e-05,             5.4204e-05,             5.4204e-05
