                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.87527,                0.73184,                 1.0467,                0.90878,                0.79743,                0.88143,                0.71938,                0.75219,                 0.5562,                0.93845,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     58,                0.85154,                0.72646,                 1.0359,                0.90337,                  0.802,                0.88184,                0.72136,                 0.7516,                0.55296,                0.93782,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     59,                0.87046,                0.73759,                 1.0481,                0.90319,                0.80374,                0.88436,                0.72482,                 0.7502,                0.55202,                0.93743,              5.067e-05,              5.067e-05,              5.067e-05
                     60,                0.86339,                0.73936,                 1.0671,                 0.8884,                0.81623,                0.88406,                0.72461,                0.74668,                0.54985,                0.93699,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     61,                0.85947,                  0.732,                 1.0367,                0.89384,                0.81541,                0.88407,                0.72304,                0.74291,                0.54808,                0.93589,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     62,                0.89507,                0.74061,                 1.0473,                0.88822,                0.81862,                0.88431,                0.72392,                 0.7419,                0.54804,                0.93584,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     63,                0.84353,                0.71826,                 1.0332,                0.88218,                0.82893,                0.88329,                0.72413,                0.73917,                0.54908,                0.93429,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     64,                0.84707,                0.72269,                 1.0403,                0.88534,                0.82646,                0.88596,                0.72456,                0.73679,                0.54745,                0.93358,              4.478e-05,              4.478e-05,              4.478e-05
                     65,                0.82441,                0.69804,                 1.0206,                0.90036,                0.81733,                0.88643,                0.72713,                0.73394,                 0.5431,                0.93229,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     66,                 0.8332,                0.70681,                 1.0215,                 0.9078,                0.81455,                0.88541,                0.72867,                0.73227,                0.54051,                0.93106,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     67,                0.81315,                0.68198,                  1.028,                0.91432,                0.81286,                0.88652,                0.73016,                0.73151,                0.53959,                0.93072,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     68,                0.81408,                0.69708,                 1.0328,                0.91229,                0.81323,                0.88676,                0.73097,                0.73166,                0.53657,                0.93019,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                0.80751,                0.68029,                 1.0281,                0.90415,                0.81893,                0.88763,                0.73351,                0.73164,                0.53398,                0.92916,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     70,                0.81492,                0.67746,                 1.0224,                0.91141,                0.81302,                0.88883,                0.73494,                0.73059,                0.53118,                 0.9285,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     71,                0.82372,                0.70425,                 1.0251,                0.91355,                0.81061,                0.88972,                0.73588,                0.72895,                0.53096,                0.92733,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     72,                0.81821,                0.69953,                 1.0481,                0.91636,                0.80912,                0.89026,                0.73629,                0.72942,                0.53067,                0.92648,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     73,                0.82307,                0.67305,                  1.024,                 0.9043,                0.81066,                0.88934,                0.73616,                0.72872,                0.52874,                0.92567,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     74,                0.84478,                0.71399,                 1.0364,                0.90327,                0.81152,                0.88814,                0.74174,                 0.7264,                0.52849,                0.92477,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     75,                0.81567,                0.71867,                 1.0577,                0.91312,                0.81238,                0.88846,                0.74127,                0.72335,                0.52982,                0.92374,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     76,                0.83667,                0.69835,                 1.0337,                0.92038,                0.81101,                0.88804,                0.74087,                 0.7216,                 0.5305,                0.92306,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     77,                0.80612,                0.67911,                 1.0157,                0.92281,                0.81223,                0.88873,                0.73994,                0.72056,                 0.5305,                 0.9225,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     78,                0.83719,                0.70431,                 1.0306,                0.92213,                0.81265,                0.88881,                0.74167,                0.71886,                0.52875,                0.92145,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     79,                0.80858,                0.65215,                 1.0114,                0.92317,                0.81168,                 0.8891,                0.74354,                0.71776,                0.52769,                0.92085,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     80,                0.83455,                0.70201,                 1.0436,                0.92379,                0.81421,                0.88983,                0.74389,                0.71621,                0.52559,                0.92072,              2.593e-05,              2.593e-05,              2.593e-05
                     81,                0.82345,                0.68469,                 1.0165,                 0.9203,                0.81633,                 0.8907,                 0.7428,                0.71619,                0.52292,                0.92078,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     82,                0.84161,                0.70901,                 1.0194,                0.92068,                0.81695,                0.89184,                0.74529,                0.71382,                0.51926,                0.92002,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     83,                0.83551,                0.70548,                 1.0439,                0.92266,                0.81925,                0.89172,                0.74636,                 0.7133,                 0.5179,                0.91968,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     84,                 0.8499,                0.71704,                 1.0364,                0.91675,                0.82051,                0.89245,                0.74768,                 0.7125,                0.51572,                0.91931,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     85,                0.84922,                0.70137,                 1.0202,                0.91642,                0.81775,                0.89234,                0.74685,                0.71236,                 0.5162,                0.91908,              2.004e-05,              2.004e-05,              2.004e-05
                     86,                0.85991,                0.71448,                 1.0454,                0.91458,                0.82024,                0.89128,                0.74504,                0.71178,                0.51529,                0.91883,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     87,                0.78335,                0.67389,                 1.0061,                0.91377,                0.82064,                0.89297,                0.74716,                0.71065,                0.51562,                0.91847,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     88,                 0.8184,                0.67364,                 1.0163,                0.91133,                0.82016,                0.89216,                0.74753,                0.70864,                0.51586,                0.91808,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     89,                0.81721,                0.68267,                 1.0329,                 0.9138,                0.81623,                0.89171,                0.74471,                0.70685,                0.51602,                0.91725,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     90,                0.84822,                0.71209,                  1.049,                0.91235,                0.81759,                0.89178,                0.74593,                0.70561,                0.51492,                0.91698,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     91,                0.81705,                0.66993,                 1.0292,                0.91663,                0.81907,                0.89208,                0.74757,                0.70407,                0.51392,                0.91647,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     92,                0.82936,                0.69838,                  1.042,                0.91574,                0.81952,                0.89208,                0.74605,                0.70271,                0.51266,                0.91588,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     93,                0.84373,                0.67719,                 1.0338,                0.91841,                0.81758,                0.89193,                0.74587,                  0.702,                0.51268,                0.91537,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     94,                0.84267,                0.70691,                 1.0281,                0.91911,                0.81893,                0.89143,                0.74625,                0.70122,                0.51296,                0.91509,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     95,                0.80669,                0.68791,                 1.0298,                0.92127,                0.81812,                0.89199,                0.74838,                0.70074,                 0.5117,                0.91498,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     96,                0.82783,                0.65153,                 1.0066,                0.92231,                0.81815,                0.89257,                0.74817,                 0.7007,                0.51066,                0.91471,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     97,                0.83307,                0.69384,                 1.0396,                0.92208,                0.81651,                0.89244,                0.74755,                0.69922,                0.50964,                0.91449,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     98,                0.82659,                0.66123,                 1.0189,                0.92055,                0.81799,                0.89279,                 0.7484,                0.69881,                0.50869,                0.91462,             4.7243e-06,             4.7243e-06,             4.7243e-06
                     99,                0.85146,                0.68236,                 1.0226,                0.92339,                 0.8169,                0.89273,                0.74897,                0.69856,                0.50851,                0.91452,             3.5462e-06,             3.5462e-06,             3.5462e-06
